#sample,r1,r2,reference
TI_24255041,input/fastq/TI_24255041_R1.fastq.gz,input/fastq/TI_24255041_R2.fastq.gz,02_AG
TI_24271723,input/fastq/TI_24271723_R1.fastq.gz,input/fastq/TI_24271723_R2.fastq.gz,B
TI_24282162,input/fastq/TI_24282162_R1.fastq.gz,input/fastq/TI_24282162_R2.fastq.gz,01_AE
TI_24304381,input/fastq/TI_24304381_R1.fastq.gz,input/fastq/TI_24304381_R2.fastq.gz,B
TI_24315928,input/fastq/TI_24315928_R1.fastq.gz,input/fastq/TI_24315928_R2.fastq.gz,B
TI_24361809,input/fastq/TI_24361809_R1.fastq.gz,input/fastq/TI_24361809_R2.fastq.gz,B
TI_24371847,input/fastq/TI_24371847_R1.fastq.gz,input/fastq/TI_24371847_R2.fastq.gz,A1
TI_POS,input/fastq/TI_POS_R1.fastq.gz,input/fastq/TI_POS_R2.fastq.gz,B
TP_24022450,input/fastq/TP_24022450_R1.fastq.gz,input/fastq/TP_24022450_R2.fastq.gz,B
TP_24045948,input/fastq/TP_24045948_R1.fastq.gz,input/fastq/TP_24045948_R2.fastq.gz,02_AG
TP_24056278,input/fastq/TP_24056278_R1.fastq.gz,input/fastq/TP_24056278_R2.fastq.gz,02_AG
TP_24065221,input/fastq/TP_24065221_R1.fastq.gz,input/fastq/TP_24065221_R2.fastq.gz,01_AE
TP_24070307,input/fastq/TP_24070307_R1.fastq.gz,input/fastq/TP_24070307_R2.fastq.gz,C
TP_24128094,input/fastq/TP_24128094_R1.fastq.gz,input/fastq/TP_24128094_R2.fastq.gz,07_BC
TP_24138188,input/fastq/TP_24138188_R1.fastq.gz,input/fastq/TP_24138188_R2.fastq.gz,01_AE
TP_24149460,input/fastq/TP_24149460_R1.fastq.gz,input/fastq/TP_24149460_R2.fastq.gz,B
TP_24173894,input/fastq/TP_24173894_R1.fastq.gz,input/fastq/TP_24173894_R2.fastq.gz,C
TP_24202644,input/fastq/TP_24202644_R1.fastq.gz,input/fastq/TP_24202644_R2.fastq.gz,A1
TP_24233946,input/fastq/TP_24233946_R1.fastq.gz,input/fastq/TP_24233946_R2.fastq.gz,B
TP_24244983,input/fastq/TP_24244983_R1.fastq.gz,input/fastq/TP_24244983_R2.fastq.gz,B
TP_24255041,input/fastq/TP_24255041_R1.fastq.gz,input/fastq/TP_24255041_R2.fastq.gz,02_AG
TP_24271723,input/fastq/TP_24271723_R1.fastq.gz,input/fastq/TP_24271723_R2.fastq.gz,B
TP_24282162,input/fastq/TP_24282162_R1.fastq.gz,input/fastq/TP_24282162_R2.fastq.gz,01_AE
TP_24304381,input/fastq/TP_24304381_R1.fastq.gz,input/fastq/TP_24304381_R2.fastq.gz,B
TP_24315928,input/fastq/TP_24315928_R1.fastq.gz,input/fastq/TP_24315928_R2.fastq.gz,B
TP_24361809,input/fastq/TP_24361809_R1.fastq.gz,input/fastq/TP_24361809_R2.fastq.gz,B
TP_24371847,input/fastq/TP_24371847_R1.fastq.gz,input/fastq/TP_24371847_R2.fastq.gz,A1
TP_POS,input/fastq/TP_POS_R1.fastq.gz,input/fastq/TP_POS_R2.fastq.gz,B
M_24065221,input/fastq/M_24065221_R1.fastq.gz,input/fastq/M_24065221_R2.fastq.gz,01_AE
M_24388188,input/fastq/M_24388188_R1.fastq.gz,input/fastq/M_24388188_R2.fastq.gz,01_AE
M_POS_2,input/fastq/M_POS_2_R1.fastq.gz,input/fastq/M_POS_2_R2.fastq.gz,B
M2_24065221,input/fastq/M2_24065221_R1.fastq.gz,input/fastq/M2_24065221_R2.fastq.gz,01_AE
M2_24388188,input/fastq/M2_24388188_R1.fastq.gz,input/fastq/M2_24388188_R2.fastq.gz,01_AE
M2_POS_2,input/fastq/M2_POS_2_R1.fastq.gz,input/fastq/M2_POS_2_R2.fastq.gz,B
M2_24070307,input/fastq/M2_24070307_R1.fastq.gz,input/fastq/M2_24070307_R2.fastq.gz,C
M2_24128094,input/fastq/M2_24128094_R1.fastq.gz,input/fastq/M2_24128094_R2.fastq.gz,07_BC
